number	time	channel	A	label
301	4113.636017	5	35.69	0
302	4185.051338	5	40.3	0
304	4197.887886	5	43.51	0
317	4444.775837	5	35.15	0
318	4466.86832	5	42.38	1
325	4720.65784	5	37.42	0
333	4875.87254	5	36.36	0
347	5265.83363	5	39.88	0
349	5341.742671	5	41.71	1
352	5370.477701	5	54.38	0
360	5533.089389	5	36.98	0
362	5575.847728	5	35.34	0
364	5600.547001	5	47.38	0
372	5736.975866	5	37.56	0
375	5752.928295	5	40.89	0
385	5857.719996	5	36.68	0
389	5899.449481	5	45.23	0
392	5929.544552	5	35.69	1
393	5931.877801	5	39.99	0
394	5935.640589	5	37.42	1
399	5985.0923	5	40.5	0
405	6027.073165	5	36.03	2
412	6091.743142	5	38.98	1
418	6114.312525	5	39.33	1
420	6138.092005	5	37.27	0
421	6150.664026	5	36.52	1
423	6155.954444	5	36.36	0
426	6177.888943	5	35.69	0
428	6198.333519	5	32.08	2
433	6246.4281	5	36.52	0
436	6270.079733	5	38.61	1
445	6310.433595	5	40.99	0
446	6328.305679	5	35.52	0
447	6336.367822	5	35.52	0
449	6360.584004	5	36.36	0
455	6391.477026	5	39.77	1
459	6397.378203	5	56.87	0
461	6405.250236	5	43.44	0
462	6409.953882	5	35.52	0
469	6439.849062	5	37.27	0
472	6449.053067	5	35.86	2
474	6468.495341	5	36.83	2
475	6479.184455	5	35.52	0
478	6502.766874	5	36.98	2
479	6506.958808	5	36.36	0
481	6509.952438	5	37.97	0
483	6542.180037	5	35.86	0
484	6542.87962	5	37.7	0
487	6557.11693	5	34.38	0
489	6573.64751	5	39.1	0
490	6589.604431	5	54.76	0
491	6598.522524	5	37.97	0
495	6626.589601	5	44.12	2
496	6628.912178	5	36.68	0
497	6648.257263	5	39.44	0
500	6687.491575	5	38.23	0
504	6721.284579	5	38.36	0
505	6723.213446	5	42.14	1
508	6737.382187	5	39.55	1
509	6742.165904	5	38.74	0
513	6755.688265	5	35.52	0
516	6813.789304	5	40.3	0
518	6830.370191	5	35.86	0
523	6856.480096	5	37.27	1
524	6865.318231	5	37.27	0
530	6881.860464	5	35.15	0
534	6895.059426	5	36.52	0
535	6897.34934	5	35.34	2
537	6901.422442	5	37.13	1
538	6905.741426	5	38.98	0
540	6908.643833	5	41.36	1
541	6909.029356	5	36.36	0
543	6910.634348	5	38.49	0
544	6912.438409	5	40.3	0
545	6913.10133	5	35.15	0
546	6914.024478	5	40.89	0
548	6915.647396	5	43.15	1
549	6916.64606	5	45.63	1
550	6919.451715	5	36.2	2
552	6921.176441	5	43.72	1
554	6926.9548	5	35.86	1
555	6928.236168	5	36.68	0
556	6929.887686	5	35.34	0
557	6932.049316	5	49.06	0
558	6932.744404	5	42.14	0
560	6936.969523	5	37.84	0
563	6943.443315	5	35.52	0
564	6945.725912	5	36.52	0
566	6949.299478	5	37.7	1
569	6952.030216	5	35.34	0
571	6954.304633	5	35.34	0
572	6955.575247	5	35.34	1
573	6956.089581	5	35.15	0
576	6959.658853	5	44.88	1
577	6961.508032	5	41.27	1
579	6963.238608	5	49.98	1
580	6965.83027	5	35.15	0
581	6966.231361	5	36.98	0
582	6966.952901	5	39.88	1
585	6973.436449	5	36.36	0
586	6975.39647	5	47.47	1
587	6976.088901	5	35.34	2
588	6979.38836	5	39.66	0
590	6985.955923	5	38.61	1
592	6989.461337	5	44.88	1
593	6992.37923	5	36.52	0
594	6995.771912	5	41.97	1
599	7007.731007	5	38.49	0
601	7009.889169	5	39.21	1
602	7010.951542	5	39.77	1
605	7021.278462	5	35.86	0
606	7026.939855	5	38.49	1
607	7030.971293	5	38.23	1
609	7031.861854	5	36.83	0
610	7032.339851	5	41.62	1
612	7035.935798	5	35.69	1
613	7038.417765	5	36.36	0
614	7040.162893	5	43.08	1
617	7044.41966	5	42.22	1
618	7045.201324	5	37.27	0
619	7045.591103	5	37.27	0
620	7046.39524	5	43.08	1
621	7048.101832	5	44.51	1
623	7052.731856	5	35.34	0
624	7053.241282	5	36.03	0
626	7055.605256	5	36.98	0
629	7059.166041	5	44.38	1
635	7193.982103	5	35.15	0
636	7200.583012	5	40.3	1
641	7278.174902	5	41.17	0
643	7297.735152	5	36.2	0
644	7322.077573	5	40.09	0
647	7360.456356	5	36.03	0
648	7371.30629	5	36.2	0
652	7477.033062	5	46.06	1
658	7623.56717	5	39.44	2
659	7649.530339	5	36.03	0
660	7650.597722	5	40.99	1
662	7768.811547	5	37.56	0
665	7810.708325	5	35.69	0
669	7843.095326	5	35.86	0
670	7896.538797	5	35.86	0
671	7898.658352	5	53.12	0
676	8079.306348	5	39.33	1
679	8103.195547	5	36.36	0
683	8145.591433	5	35.69	1
686	8179.52464	5	36.98	0
687	8217.766683	5	47.47	0
690	8277.55007	5	36.2	0
695	8423.194647	5	41.97	0
697	8464.76707	5	40.5	1
704	8580.011976	5	37.56	0
707	8662.06391	5	39.1	0
708	8674.62433	5	44.57	1
712	8783.426917	5	36.36	0
715	8810.264995	5	40.4	0
717	8833.241347	5	36.2	0
718	8834.836689	5	38.36	1
720	8861.897887	5	35.34	0
727	8969.034446	5	38.49	0
730	9163.783889	5	39.33	1
735	9251.995894	5	42.62	1
736	9295.545822	5	38.86	1
742	9419.470454	5	42.38	1
743	9459.811809	5	36.2	1
746	9556.68611	5	46.22	0
751	9755.850476	5	35.86	1
756	9809.171669	5	37.97	2
766	9931.620921	5	38.23	1
769	10071.191648	5	46.37	0
774	10169.778019	5	36.83	0
793	10733.543287	5	38.1	1
795	10777.208139	5	38.49	0
799	10896.849354	5	38.49	1
803	10929.419699	5	36.2	0
804	10929.85277	5	36.03	1
819	11234.165006	5	32.59	0
832	11496.14226	5	39.77	1
839	11593.297053	5	38.23	1
844	11665.328672	5	35.52	0
848	11732.319798	5	36.03	1
859	12031.348529	5	36.98	1
860	12031.932212	5	35.86	0
861	12032.375519	5	38.36	0
864	12065.661248	5	41.27	1
865	12088.759296	5	36.03	0
873	12341.946906	5	37.13	0
875	12376.535115	5	36.36	1
879	12448.373461	5	35.86	0
887	12563.081488	5	35.86	0
892	12701.004683	5	41.17	0
893	12709.14307	5	35.34	0
899	12817.090061	5	39.21	1
901	12842.50226	5	35.15	0
907	13095.358117	5	35.52	1
908	13095.840339	5	41.88	1
945	14083.505472	5	31.54	2
946	14102.955279	5	37.13	1
951	14220.348206	5	38.86	1
954	14258.442743	5	40.8	0
984	15061.273207	5	36.03	2
992	15238.488676	5	31.54	2
996	15413.662337	5	38.1	1
1007	15650.88904	5	36.36	1
1009	15707.641762	5	35.34	0
1013	15752.61708	5	37.56	1
1015	15769.162841	5	35.15	1
1018	15808.012519	5	41.27	0
1019	15828.040254	5	49.77	0
1020	15828.501069	5	46.11	0
1025	15862.918405	7	37.27	2
1028	15892.814895	5	48.68	0
1031	15944.093856	5	46.67	0
1033	15954.931703	5	50.56	0
1035	15969.227039	5	58.7	2
1038	16121.454344	5	48.87	0
1039	16122.631873	5	37.56	1
1042	16129.272238	5	39.99	0
1045	16154.932387	5	36.2	0
1047	16165.839313	5	38.86	0
1051	16221.375727	5	43.86	0
1058	16305.968079	5	35.34	1
1061	16325.650248	5	37.27	0
1065	16395.517722	5	38.23	2
1066	16403.163237	5	50.75	0
1067	16403.8864	5	51.11	0
1068	16436.99585	5	36.52	0
1069	16438.472242	5	36.03	0
1070	16442.56414	5	42.7	0
1084	16699.394018	5	38.1	0
1086	16701.284739	5	37.27	0
1087	16761.560974	5	47.01	0
1088	16762.242748	5	46.87	0
1098	17050.218692	5	37.97	1
1101	17133.39638	5	41.36	1
1103	17176.63379	5	36.2	1
1113	17299.521949	5	35.34	2
1115	17318.618209	5	57.26	2
1116	17478.135475	5	36.68	0
1123	17619.094326	5	39.1	0
1126	17737.677964	5	45.12	1
1129	17888.96893	5	59.0	2
1134	17979.071654	5	35.15	0
1138	18100.854449	5	35.52	0
1140	18126.313467	5	51.45	0
1143	18194.43417	5	36.36	0
1146	18205.356376	5	40.89	1
1149	18219.674741	5	45.23	0
1152	18297.954786	5	39.66	0
1153	18298.907833	5	40.09	0
1154	18351.181078	5	35.34	0
1164	18464.836277	5	38.98	0
1165	18469.079518	5	50.43	2
1172	18655.09156	5	39.77	1
1178	18711.692689	5	37.27	0
1180	18716.785071	5	53.53	2
1189	18856.54803	5	53.03	2
1191	18866.673826	5	36.83	1
1192	18874.419191	5	48.87	0
1193	18879.107909	5	39.88	1
1199	18987.128411	5	44.7	1
1203	19029.99017	5	36.03	1
1206	19044.096913	5	39.55	1
1209	19058.516188	5	36.36	2
1216	19169.089181	5	37.7	2
1217	19169.496504	5	38.86	1
1219	19176.92325	5	44.19	1
1222	19268.920937	5	40.4	1
1225	19300.300765	5	44.19	0
1230	19329.646227	5	42.05	0
1231	19330.304303	5	44.7	1
1232	19342.517962	5	40.8	0
1233	19348.726724	5	38.36	1
1235	19370.297289	5	48.07	0
1237	19378.444311	5	42.62	1
1242	19426.633665	5	40.89	1
1244	19441.811652	5	41.71	0
1246	19487.01841	5	43.65	1
1247	19497.418212	5	36.03	0
1249	19522.045229	5	50.08	0
1257	19631.682324	5	47.01	0
1258	19640.625859	5	37.13	1
1259	19647.507142	5	36.2	0
1262	19695.371826	5	37.27	1
1264	19725.297399	5	38.61	1
1265	19732.623301	5	37.42	0
1267	19745.917567	5	38.61	1
1271	19776.002905	5	36.83	0
1272	19778.142752	5	42.3	1
1273	19804.529559	5	51.71	0
1279	19872.756734	5	36.03	0
1281	19900.111703	5	35.52	0
1282	19922.779757	5	36.03	0
1284	19939.398577	5	40.2	0
1285	19950.511768	5	47.6	0
1286	19951.002058	5	37.13	1
1289	19958.032771	5	37.42	0
1291	20021.612448	5	43.15	1
1293	20051.090952	5	36.68	1
1299	20184.513954	5	38.23	1
1300	20202.511974	5	40.7	1
1303	20231.795476	5	39.44	2
1304	20232.686724	5	37.84	2
1310	20310.798132	5	40.99	0
1312	20312.172686	5	45.06	0
1313	20312.879688	5	50.37	0
1317	20402.218518	5	41.8	0
1318	20429.903989	5	35.15	0
1319	20430.398157	5	41.36	1
1324	20494.204927	5	36.52	1
1325	20495.719643	5	36.03	0
1330	20591.266111	5	39.1	1
1334	20623.093391	5	43.37	0
1335	20632.586609	5	45.57	1
1336	20639.180334	5	35.34	1
1337	20656.578163	5	36.2	0
1338	20660.181917	5	39.77	0
1339	20674.1319	5	36.68	0
1340	20674.605707	5	50.69	0
1342	20712.061499	5	44.45	1
1345	20756.344109	5	36.2	1
1346	20774.83823	5	35.15	1
1347	20780.756695	5	36.68	2
1348	20807.451687	5	41.54	0
1350	20861.55099	5	35.86	1
1355	20890.900542	5	39.66	2
1358	20926.532612	5	38.36	1
1363	20950.652247	5	38.86	0
1364	20951.392994	5	35.52	1
1366	20971.116933	5	39.77	0
1368	20996.065828	5	35.52	0
1369	21021.673131	5	40.4	1
1372	21065.106826	5	35.52	2
1375	21091.975371	5	35.86	2
1380	21167.898049	5	39.99	1
1381	21169.756966	5	36.83	2
1382	21170.5145	5	35.86	2
1384	21188.320959	5	35.15	2
1385	21190.941903	5	36.83	0
1386	21205.577868	5	36.36	2
1387	21216.761075	5	35.34	2
1388	21217.465074	5	42.54	2
1391	21244.17317	5	37.13	0
1393	21265.461794	5	38.23	1
1395	21290.888979	5	35.69	2
1397	21295.446892	5	39.77	0
1399	21325.467347	5	43.92	1
1404	21364.630095	5	40.6	1
1410	21431.024862	5	36.98	1
1411	21435.328138	5	49.88	0
1412	21443.567171	5	39.77	1
1413	21464.998456	5	47.99	1
1414	21475.883675	5	41.71	1
1417	21564.985485	5	38.49	0
1420	21630.083504	5	35.69	0
1424	21651.768893	5	36.36	2
1426	21658.344585	5	47.29	1
1428	21679.42726	5	51.54	0
1429	21702.305728	5	35.86	0
1431	21727.164789	5	42.54	0
1434	21831.062178	5	36.83	2
1440	21942.231094	5	37.84	1
1442	21955.881577	5	39.21	2
1444	21969.700418	5	35.34	0
1447	21991.032274	5	46.67	0
1449	21996.769474	5	41.36	0
1451	22018.63584	5	37.84	1
1452	22054.917167	5	35.69	0
1453	22068.269767	5	36.03	0
1455	22079.482229	5	46.62	1
1460	22131.218654	5	36.2	0
1461	22140.683813	5	37.13	0
1464	22175.814979	5	50.08	0
1466	22197.996885	5	42.85	1
1467	22208.371205	5	38.61	1
1471	22275.849509	5	37.7	1
1473	22300.358023	5	44.45	1
1478	22319.342463	5	35.69	0
1482	22374.205575	5	35.34	1
1488	22455.216896	5	35.69	0
1494	22506.99204	5	35.69	1
1495	22532.382957	5	37.97	0
1497	22546.561757	5	41.36	1
1502	22576.403684	5	43.79	0
1508	22692.499078	5	39.44	0
1515	22795.072189	5	39.33	0
1518	22833.729293	5	35.34	1
1519	22853.155176	5	36.2	0
1523	22958.080026	5	37.42	1
1524	22962.443372	5	31.54	2
1525	22966.70759	5	37.27	0
1526	22970.582936	5	35.69	1
1535	23140.874611	5	37.7	0
1536	23148.011178	5	39.44	1
1537	23198.406239	5	37.27	0
1543	23491.707117	5	36.36	1
1544	23538.299798	5	43.92	0
1546	23548.512947	5	36.36	0
1549	23624.936337	5	35.69	1
1550	23651.58452	5	39.88	0
1554	23752.275053	5	45.41	0
1558	23861.914979	5	46.96	0
1559	23870.219318	5	36.83	0
1560	23885.722382	5	45.74	1
1563	23901.587529	5	36.36	0
1564	23905.296645	5	36.36	0
1568	24003.125457	5	36.68	1
1574	24079.601312	5	37.13	1
1579	24285.738699	5	37.7	0
1583	24394.602222	5	36.83	1
1584	24395.499378	5	38.1	1
1589	24437.478705	5	39.99	0
1594	24446.276184	7	33.75	2
1600	24543.860877	5	36.03	0
1608	24730.554268	5	35.86	1
1612	24845.192223	5	44.45	1
1616	24920.989826	5	37.7	0
1622	25099.287868	5	43.58	1
1629	25229.368535	5	50.84	0
1637	25452.812868	5	40.09	0
1638	25455.711991	5	35.69	0
1639	25457.314092	5	36.03	1
1640	25458.342396	5	36.52	0
1645	25472.817573	5	36.03	1
1647	25476.869	5	38.49	1
1649	25484.724806	5	35.52	1
1653	25494.380558	5	35.15	1
1654	25494.901679	5	35.34	1
1665	25518.830003	5	35.86	1
1666	25524.471236	5	35.69	1
1667	25524.923966	5	36.36	1
1668	25532.956625	5	36.52	1
1671	25540.01526	5	35.52	1
1691	25574.153279	5	35.34	0
1696	25587.842404	5	36.83	0
1697	25589.647443	5	35.52	0
1701	25601.946637	5	36.36	0
1706	25609.386948	5	35.34	0
1711	25627.23609	5	35.15	0
1712	25633.437483	5	36.36	0
1714	25638.598894	5	36.52	0
1721	25654.022288	5	33.75	0
1731	25692.913165	5	35.34	0
1735	25737.085918	5	37.7	0
1736	25745.303557	5	35.15	2
1739	25779.563374	5	32.08	2
1745	25915.348398	5	36.2	0
1753	26106.680536	5	43.08	1
1755	26130.352425	5	51.76	1
1759	26191.763784	5	37.84	0
1765	26329.989938	5	41.8	1
1770	26416.869455	5	35.15	0
1774	26471.339246	5	37.27	0
1775	26472.789607	5	31.81	2
1778	26600.361364	5	35.86	0
1782	26682.833559	5	40.6	0
1784	26699.279302	5	36.68	0
1798	26990.612846	5	36.98	0
1799	27064.715354	5	39.88	1
1800	27113.61701	5	41.27	1
1821	27542.79324	5	37.97	0
1826	27604.317467	5	39.33	0
1828	27637.300562	5	42.14	1
1831	27675.607025	7	33.97	2
1833	27692.523543	7	33.75	2
1836	27787.891684	5	36.03	0
1859	28432.927555	5	35.34	0
1877	28785.811879	5	37.27	0
1913	29669.319077	5	41.71	1
1916	29703.119282	5	44.06	1
1923	30016.592555	5	37.27	0
1934	30303.559142	5	31.81	2
1942	30537.459707	7	33.75	2
1943	30540.807177	5	40.7	1
1957	30844.467668	7	33.75	2
2000	31972.377367	5	35.15	0
2015	32267.584729	5	36.03	0
2021	32402.070127	5	37.56	0
2026	32474.067095	7	34.38	2
2065	33279.594336	5	38.36	0
2082	33671.500161	5	35.34	0
2096	33938.726861	5	43.79	1
2110	34361.489869	7	34.18	2
2149	35478.389393	5	40.2	1
2231	37050.869703	7	33.97	2
2236	37145.642053	5	36.36	0
2312	38778.129163	7	33.97	2
2324	39038.436107	5	31.81	2
2411	41116.737169	5	45.63	1
2429	41505.192396	5	32.08	2
2447	42040.602639	5	44.32	1
2478	43031.04609	5	31.54	2
2479	43061.258948	5	39.88	1
2549	44982.072628	7	33.97	2
2558	45213.281043	5	37.56	0
2560	45239.077396	5	35.69	0
2649	47171.008225	5	46.67	1
2673	47849.21078	7	33.75	2
2735	49792.773267	5	31.54	2
2969	55353.89551	5	32.08	2
2983	55666.338138	5	37.13	0
3011	56233.428942	5	36.03	0
3036	56806.945946	5	31.54	2
3058	57267.324998	5	36.03	0
3067	57507.796373	7	33.53	2
3099	58425.64343	5	31.54	2
3113	58700.99916	7	33.75	2
3115	58736.770238	5	45.18	0
3192	60601.469087	7	33.97	2
3220	61164.422878	7	34.18	2
3228	61360.3582	7	33.97	2
3305	63371.321392	5	41.54	0
3316	63655.186373	7	33.75	2
3386	65091.795887	7	34.18	2
3510	68074.727395	7	33.53	2
3619	70083.192504	7	33.75	2
3679	71392.85343	5	32.08	2
3796	74754.107625	5	31.54	2
3821	75210.890345	5	32.08	2
3940	77863.802483	5	39.21	0
3952	78160.791109	7	33.75	2
3978	78602.272141	7	33.97	2
4076	81467.564898	7	34.18	2
4135	82824.288741	5	35.86	0
4270	85725.290502	5	31.54	2
4310	86766.053515	7	33.75	2
4360	87920.672113	7	33.97	2
4443	89860.304022	7	33.75	2
4806	98954.576083	7	33.75	2
5013	103975.788263	7	33.97	2
5079	105530.929392	5	31.81	2
5135	107170.30051	5	36.68	0
5162	107802.157472	5	32.08	2
5326	112211.248687	7	33.97	2
5344	112536.78187	7	33.75	2
5378	113580.072635	5	31.54	2
5391	113772.23856	5	39.44	0
5567	117881.539105	5	32.08	2
5592	118566.457248	5	31.54	2
5713	122015.260849	7	33.97	2
5759	123111.358017	7	33.97	2
5819	124525.827083	7	33.97	2
5826	124830.056479	5	32.08	2
5898	126252.272399	5	31.81	2
5974	128320.269652	7	34.18	2
6017	129411.191021	5	32.59	2
6026	129686.188914	7	33.75	2
6301	135823.795458	5	31.81	2
6309	135983.420953	7	34.18	2
6364	137230.530752	5	32.08	2
6598	142956.394025	6	31.54	2
6622	143556.250755	7	33.53	2
6637	143931.540584	5	32.08	2
6759	146563.403016	6	31.25	2
6900	149889.86711	5	31.54	2
7033	152228.468952	5	32.08	2
7052	152688.73392	7	33.97	2
7073	153066.239297	5	31.81	2
7166	155085.479602	7	33.97	2
7235	156757.660321	5	31.81	2
7263	157323.579719	7	33.75	2
7284	157706.61445	7	33.97	2
7291	157789.241322	7	34.38	2
7360	159449.03148	5	31.81	2
7385	159867.719384	5	32.34	2
7566	163866.648486	7	33.75	2
7617	164808.686027	7	33.75	2
7655	165608.521242	5	31.81	2
7852	170806.193343	7	33.75	2
7914	172219.522656	7	33.97	2
8048	175750.697638	5	35.15	0
8096	177233.447966	7	33.75	2
8271	181399.548463	5	31.81	2
8296	182342.522484	5	37.13	0
8442	185961.016689	7	33.75	2
8566	189109.601615	6	32.08	2
8739	193616.35594	7	33.97	2
8909	197186.839197	7	33.53	2
9005	199808.899242	7	33.53	2
9061	200975.255757	7	33.75	2
9178	203127.624349	7	33.75	2
9308	206309.954166	7	33.53	2
9483	210151.200339	5	31.81	2
9700	215349.309431	6	31.54	2
9781	217164.917862	7	33.53	2
9937	221389.442238	7	33.53	2
9939	221434.165663	7	33.53	2
9961	221879.839698	7	33.97	2
9969	222053.390778	5	31.81	2
9989	222529.233599	7	34.18	2
10129	225708.883537	7	33.97	2
10331	231031.963816	5	31.81	2
10435	233332.4431	7	33.75	2
10509	235204.228397	7	34.18	2
10542	235887.417483	7	34.18	2
10777	240706.504137	5	31.81	2
10867	242995.331189	5	35.52	0
10872	243090.773451	5	31.81	2
10906	243854.907366	7	33.97	2
10975	245638.004079	5	32.08	2
11143	249805.152288	5	32.08	2
11192	250995.798228	7	34.18	2
11202	251166.150717	5	32.34	2
11457	257192.229764	5	32.34	2
11524	258528.033075	7	33.75	2
11662	261369.901896	7	34.38	2
11828	265802.009992	7	34.38	2
11858	266330.983263	7	33.97	2
11875	266853.437659	5	32.59	2
12006	270212.103229	5	31.81	2
12050	271331.307971	7	33.53	2
12057	271491.432236	7	33.97	2
12109	272681.584896	7	33.97	2
12121	272972.351996	5	35.86	0
12162	273771.287144	5	35.69	0
12200	274669.651837	5	41.17	0
12202	274672.315631	5	40.2	0
12212	274960.505628	5	41.36	0
12214	275049.104384	5	40.09	1
12216	275070.986496	5	45.9	1
12217	275084.898084	5	44.25	1
12219	275098.409553	5	48.98	0
12221	275151.353815	5	43.22	0
12222	275151.882888	5	48.4	0
12253	275687.07556	5	31.81	2
12261	275894.901967	7	33.53	2
12264	275925.673081	5	36.83	0
12265	275944.2427	5	40.09	0
12326	277367.820471	7	33.53	2
12404	279170.305569	5	31.81	2
12477	281072.458496	5	32.08	2
12559	283512.070227	5	31.81	2
12580	284115.40701	5	32.08	2
12755	288934.274089	7	33.53	2
12767	289207.80397	7	33.97	2
13014	295086.236845	7	33.75	2
13049	295729.686069	5	31.81	2
13075	296574.125664	7	33.53	2
13110	297523.305232	7	33.97	2
13202	299606.041493	6	31.25	2
13364	303604.802331	5	32.34	2
13366	303626.410266	5	31.81	2
13368	303685.883905	7	33.75	2
13414	304787.443022	7	33.97	2
13440	305299.297664	7	33.97	2
13497	306894.651172	7	33.97	2
13797	314603.321016	7	33.97	2
13915	318054.201581	7	33.75	2
14148	324310.112495	7	33.53	2
14180	325234.082216	5	32.08	2
14181	325255.589686	7	33.97	2
14424	331403.61823	7	33.97	2
14630	336502.913125	7	33.97	2
14822	341322.419921	7	34.18	2
14862	342466.07499	5	31.81	2
15170	6861.552386	7	33.97	2
15174	6978.399957	5	31.81	2
15236	8771.066997	7	33.97	2
15249	9121.047086	7	33.75	2
15403	13054.313037	5	32.08	2
15633	18503.275252	5	31.81	2
15748	21844.635939	7	33.97	2
15756	21990.03169	7	33.53	2
15823	23904.090634	5	31.54	2
15855	24651.439999	7	34.18	2
15918	26455.671124	7	33.53	2
15959	27612.588183	7	33.53	2
15973	28013.458727	7	34.38	2
15990	28733.295396	6	31.54	2
16016	29315.096639	7	34.38	2
16090	31044.340771	7	33.97	2
16112	31678.359823	7	33.53	2
16200	34344.163297	7	33.53	2
16213	34706.275476	7	33.97	2
16298	37068.528059	7	33.75	2
16449	41195.930311	7	33.75	2
16632	46182.686283	7	33.53	2
16699	48432.434905	7	33.53	2
16756	49516.287196	5	32.08	2
16839	51732.824809	7	33.75	2
16854	52230.329091	7	33.53	2
16898	53396.062431	7	33.97	2
17047	57370.370697	6	31.54	2
17100	58588.288275	7	33.97	2
17195	60989.395116	5	32.08	2
17304	63497.882028	7	34.18	2
17367	64710.662877	7	33.53	2
17402	65353.282696	7	33.53	2
17471	67748.76991	5	31.81	2
17857	77464.665693	7	33.97	2
17954	80352.870671	7	33.75	2
18080	84203.849562	5	35.86	0
18232	89042.236187	6	31.25	2
18245	89367.819649	5	37.7	0
18263	89895.438917	5	46.72	0
18264	89900.077898	5	47.86	0
18280	90164.473521	5	48.83	0
18281	90165.546461	5	45.0	0
18294	90360.601559	5	48.32	0
18310	90939.498523	5	46.96	0
